CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
C3_Y5_33,10,0.9810297842241744,1150.0
X3_Y3_29,10,0.9810261975433566,6542.0
E2_Y4_38,10,0.9810259180464975,684.0
E2_Y1_17,10,0.9810224679728443,11941.0
E2_Y1_29,10,0.9810209266905372,11486.0
C3_Y4_28,10,0.9810201850493117,2643.0
E2_Y5_7,10,0.9810170103283191,6316.0
X3_Y4_50,10,0.9810157739284524,13122.0
X3_Y1_51,10,0.9810136625917693,476.0
E1_Y2_56,10,0.9810124509151691,17216.0
E2_Y1_32,10,0.9810122440080155,4520.0
E1_Y2_56,10,0.9810108496460612,17218.0
X3_Y4_60,10,0.9810106034352534,1158.0
E2_Y3_52,10,0.9810092366161345,15762.0
C3_Y4_19,10,0.9810089707156527,10372.0
E1_Y2_56,10,0.9810073785107966,17217.0
E2_Y2_26,10,0.9810063164321936,14921.0
E2_Y1_13,10,0.9810055382974208,12849.0
E2_Y4_7,10,0.981004835373228,15605.0
E2_Y3_7,10,0.9810029776179707,7036.0
E2_Y1_57,10,0.9809994387373604,5064.0
E1_Y2_56,10,0.9809984170126539,17219.0
X3_Y1_48,10,0.980998257300163,2362.0
E1_Y2_56,10,0.9809943578932047,17220.0
C3_Y2_11,10,0.9809886191906495,17210.0
E1_Y2_56,10,0.9809882226816831,17221.0
X3_Y1_40,10,0.9809879165786909,7346.0
E1_Y2_53,10,0.9809786103362165,7386.0
C3_Y5_9,10,0.9809771113095956,12328.0
E2_Y5_19,10,0.9809748065485967,17853.0
C3_Y4_28,10,0.9809725308159105,2644.0
X3_Y1_7,10,0.9809675407467334,3220.0
E2_Y3_1,10,0.9809671899280286,14259.0
E2_Y3_7,10,0.9809632391254393,7035.0
X3_Y3_29,10,0.9809607468347264,6545.0
X3_Y1_7,10,0.9809562728034198,3227.0
C3_Y5_36,10,0.9809547157390963,3193.0
E2_Y5_14,10,0.9809510728939804,477.0
C3_Y5_36,10,0.9809483440811796,3196.0
C3_Y4_20,10,0.9809463194036613,307.0
E2_Y3_43,10,0.9809429203471737,10588.0
X3_Y3_41,10,0.9809408491183844,1547.0
